city,three_year_pct_growth,employee_growth,num_employees,industry,rank,revenue_2007,founded,state,link,revenue_2010,industry_rank,blurb,company_name
Baton Rouge,57,20,70,Consumer Products & Services,3292,17900000.0,1995,LA,http://www.PreSonus.com,28100000.0,170,"Designs and manufactures audio recording software, sound mixers, microphone preamps, signal processors, and other audio equipment sold to musicians, sound professionals, and hobbyists around the world.",PreSonus Audio Electronics
San Diego,57,5,50,Business Products & Services,3288,6800000.0,2003,CA,http://www.Officia.com,10800000.0,298,Sells and services business equipment throughout California.,Officia Imaging
Cincinnati,57,700,275,Human Resources,3289,33600000.0,2002,OH,http://www.trustaff.com,52800000.0,92,"Recruits for temporary and full-time positions in all industries. Trustaff's emphasis is on nursing, pharmacy, and allied health care positions. It places health care professionals in government positions.",Trustaff
Athens,57,,439,Human Resources,3294,1500000.0,1979,GA,http://www.bosstaffing.net,2400000.0,93,"Matches experienced personnel to staffing needs. Recruits, screens, and selects people on an on-going basis. Supplies temporary employees and temp-to-hire as well as direct hires.",BOS Staffing
Hinton,57,13,36,Health,3287,3500000.0,1997,WV,http://www.PracticeLink.com,5600000.0,291,"An online job bank listing more than 14,500 open positions for doctors in a wide range of specialties at hospitals, medical groups, and private practices. It also publishes PracticeLink Magazine, a career development quarterly publication for residents, fellows, and practice-seeking physicians.",PracticeLink
Oklahoma City,57,6,21,Advertising & Marketing,3285,1600000.0,2003,OK,http://www.saxum.com,2500000.0,291,"Develops and executes integrated communications strategies, with a focus on PR, marketing, creative, social media, and business consulting. Clients include the National Center for Policy Analysis and Hobby Lobby.",Saxum
Salt Lake City,57,16,45,Software,3286,2500000.0,1998,UT,http://www.VeracitySolutions.com,4000000.0,231,Provides software consulting services specializing in helping software companies develop business applications with Microsoft technologies.,Veracity Solutions
St. Louis,57,,211,Education,3284,31300000.0,1974,MO,http://www.BookSource.com,49300000.0,52,Sells discounted educational trade books for use in elementary through high school classrooms.,The Booksource
LAKEWOOD,58,,12,IT Services,3282,4100000.0,1997,OH,http://www.THINSOLUTIONS.COM,6500000.0,428,"Provides IT systems consultation and integration. Includes the maintenance of systems, recommendations on the latest technology for IT equipment, application development, and hosting.",Thinsolutions
Richmond,62,,57,IT Services,3182,26500000.0,1997,VA,http://www.CapTechConsulting.com,42800000.0,409,"A national technology consulting firm offering management consulting, systems integration, and data management.",CapTech Ventures
Atlanta,53,11,70,Food & Beverage,3400,24700000.0,1999,GA,http://www.Qwine.com,37900000.0,94,Distributes wine and spirits throughout the state of Georgia.,Quality Wine & Spirits
Simi Valley,57,5,15,Computer Hardware,3296,26500000.0,1995,CA,http://www.TopazSystems.com,41700000.0,25,"Develops and manufactures electronic signature capture software and hardware, predominantly signature pads and the embedded software, for use in most industries including banking, security, government, retail, health care, and document management.",Topaz Systems
Beverly Hills,53,7,19,Software,3399,2100000.0,1997,CA,http://www.Mediachase.com,3300000.0,235,Develops e-commerce software and other business applications.,Mediachase
Wall Township,53,45,90,Software,3398,8700000.0,1984,NJ,http://www.marathondata.com,13300000.0,234,"Develops mobile software applications to integrate office operations with a workforce in the field. It automates scheduling, billing and customer management operations with one software service.",Marathon Data Systems
Laguna Hills,53,,117,Software,3396,14600000.0,1980,CA,http://www.Blytheco.com,22400000.0,233,Offers business management software and consulting services.,Blytheco
Houston,57,6,11,Construction,3290,3600000.0,2005,TX,http://www.DeltaTEquipment.com,5700000.0,113,Represents manufacturers in the HVAC and plumbing industries of southeast Texas. The equipment suppliers it represents manufacture both new construction and aftermarket products.,Delta T Equipment
Greenville,53,,5470,Financial Services,3395,56600000.0,1987,SC,http://www.GetRegionalCash.com,86800000.0,152,"A lender with 134 locations in Texas, North Carolina, South Carolina, Alabama, and Tennessee that specializes in personal loans to consumers with credit problems.",Regional Management
Lafayette,53,437,52,Health,3394,286100000.0,1994,LA,http://www.SchumacherGroup.com,438900000.0,298,Provides physician-led emergency medical staffing and management services to over 180 physician practices in 24 states.,Schumacher Group
Alpharetta,53,70,90,IT Services,3391,30300000.0,1994,GA,http://www.StaffTechWorldwide.com,46500000.0,442,"Provides IT contract staffing and direct hire, as well as IT consulting services, to midsize companies and major corporations.",Staffing Technologies
Atlanta,54,18,48,Advertising & Marketing,3390,4800000.0,2001,GA,http://www.ResponseMine.com,7300000.0,306,Provides digital and direct response marketing services to its clients.,Response Mine Interactive
Orem,57,23,55,Software,3283,5200000.0,2001,UT,http://www.FishbowlInventory.com,8200000.0,230,"Develops inventory control software used by health care companies, retailers, and manufacturers.",Fishbowl Inventory
Cincinnati,53,,230,Security,3392,19700000.0,1991,OH,http://www.LifeSafer.com,30200000.0,51,"Manufactures, distributes, and services ignition interlock devices in the vehicles of convicted drunk driving offenders. The device renders a car's ignition inoperable until the driver passes a breath alcohol test.",LifeSafer Interlock
Rochester,58,42,92,Engineering,3281,13900000.0,1999,NY,http://www.Impact-Tek.com,21900000.0,56,"Provides a range of products and services for analyzing, predicting, and managing the health of critical systems. Applications include marine systems, ground vehicles, aerospace, power and industrial, and electronic systems.",Impact Technologies
Carlsbad,54,69,273,Health,3388,27400000.0,1995,CA,http://www.Synteract.com,42100000.0,297,Plans and executes human clinical trials of new drugs and devices for emerging biopharmaceutical companies.,Synteract
Lawrenceville,54,11,72,IT Services,3385,2300000.0,2004,GA,http://www.Savi-Tech.com,3500000.0,441,"Provides IT and software services to assist public sector agencies, private industry, and U.S. and international defense in managing and deploying their assets.",Savi Technologies
Tempe,54,13,40,Advertising & Marketing,3384,3800000.0,1999,AZ,http://www.sitewire.net,5900000.0,305,"Marketing agency that connects customers and brands though digital experiences. Sitewire uses local, mobile, social and search channels to help customers ""be found, be liked, be known.""",Sitewire
Chicago,54,40,22,Education,3383,4100000.0,1997,IL,http://www.NogginLabs.com,6300000.0,54,"Develops customized e-learning services for a diverse range of industries including finance, higher education, pharmaceutical, and government agencies.",NogginLabs
Rancho Cucamonga,53,,450,Health,3397,7000000.0,1987,CA,http://www.RehabAbilities.com,10700000.0,299,"Places rehabilitation therapy professionals in hospitals, private practices, nursing homes, and schools.",RehabAbilities
POMPANO BEACH,54,10,32,Consumer Products & Services,3382,3900000.0,1991,FL,http://www.naturalskincare.com,6000000.0,175,"Manufactures and formulates private-label natural skin care products primarily for plastic surgeons, dermatologists, medi-spas, and wholesale and private label skin care customers.",Cosmetic Solutions
Plymouth,53,128,350,Food & Beverage,3393,411500000.0,1974,WI,http://www.MastersGalleryFoods.com,631300000.0,93,"Provides a private label cheese products, most notably natural shredded and chunk cheeses. The family-owned company specializes in the procurement, aging and distribution of bulk cheeses at a national level.",Masters Gallery Foods
Seattle,49,20,35,Advertising & Marketing,3499,3500000.0,2005,WA,http://www.Lenati.com,5200000.0,316,"Provides award-winning advertising boutique services including design, implementation, and optimized marketing and sales strategies for companies that want to build stronger customer connections.",Lenati
Syracuse,49,9,55,Manufacturing,3498,20200000.0,1885,NY,http://www.jrclancy.com,30200000.0,125,"Designs, manufacturers, and installs theatrical and stage equipment worldwide. Projects include major preforming arts centers, concert halls, theatres, casinos, and cruise ships.",J.R. Clancy
South Bend,54,15,31,Business Products & Services,3389,4200000.0,1976,IN,http://www.Communication-co.com,6500000.0,308,"Provides design, installation, and services for life safety, security, audio visual, and communication systems.",Communication Company of South Bend
Greenville,50,13,17,Insurance,3497,2400000.0,1999,SC,http://www.IAGbenefits.com,3500000.0,35,"Provides employee benefits to companies across the country, developing voluntary, payroll-deducted insurance products. IAG customers are largely in the hospitality staffing, healthcare staffing, and business staffing fields.",Insurance Applications Group
Mesa,50,85,150,Health,3496,1300000.0,2003,AZ,http://www.SEEKArizona.org,2000000.0,312,"Agency providing assistance, therapies and behavioral health services at home or in the clinic to children and adults with developmental and behavioral disorders, especially autism spectrum disorders.",S.E.E.K. Arizona
San Diego,54,,110,Health,3387,28600000.0,1998,CA,http://www.AltheaTech.com,43900000.0,296,"Offers products and services that support pharmaceutical companies' research and development, including biologic manufacturing, protein analytics stability testing, formulation development, and aseptic vial and syringe filling.",Althea Technologies
Upper Arlington,50,9,21,Advertising & Marketing,3493,2000000.0,1991,OH,http://www.questline.com,3100000.0,315,"Produces informational and educational content such as email newsletters, alerts, communications, webinars, podcasts, and helplines, for the electric and gas utility companies to assist with e-communication channels.",Questline
Reading,50,66,216,Health,3494,2100000.0,2002,PA,http://www.CaringMattersHomeCare.com,3100000.0,311,"Provides nursing staff who deliver in-home, non-medical personal care services to elderly and physically challenged patients. The company is planning to begin franchising its business.",Caring Matters Home Care
Atlanta,50,,35,Business Products & Services,3492,2000000.0,2006,GA,http://www.peachtreetents.com,3000000.0,317,"Rents accessories and equipment for tent, party, wedding, and stagings. Rented items include dishes, stemware, linens, flatware, serving items, podiums, furniture, and catering equipment.",PeachTree Tents and Events
Columbus,50,,11000,Manufacturing,3489,2500000000.0,2005,OH,http://www.Momentive.com,3800000000.0,124,"Manufactures acids and derivatives designed to make windows, roofs, floors, and other building materials lighter, stronger, more water resistant, and more environmentally friendly. The company went public in April 2011.",Momentive Performance Materials Holdings
Boise,50,,47,Business Products & Services,3490,6900000.0,1936,ID,http://www.fishers-boise.com,10400000.0,316,Fisher's Document Systems sells office equipment and document management software to businesses in Idaho.,Fisher's Document Systems
Clark,49,8,14,Financial Services,3500,1900000.0,1987,NJ,http://www.sganj.com,2800000.0,160,"A CPA firm that offers assurance, tax and business consulting in the for-profit and non-profit sectors.",SGA Group
Boxford,50,70,180,Health,3491,19400000.0,1990,MA,http://www.iatric.com,29100000.0,310,"Provides software applications, interfaces and reporting solutions for health care information systems.",Iatric Systems
Okemos,50,50,134,Software,3486,28600000.0,1987,MI,http://www.TechSmith.com,42900000.0,241,"Publishes software that enables users to capture, edit, and share anything appearing on their computer screens.",TechSmith
WALNUT,50,9,29,Retail,3488,3400000.0,2004,CA,http://www.AccessoryGeeks.com,5100000.0,157,"Provides cell phone and other electronic device accessories for popular items and brands, such as Angry Birds iPhone covers and Hello Kitty Bluetooth headsets.",AccessoryGeeks.com
Chicago,50,36,48,Financial Services,3485,4000000.0,1974,IL,http://www.ecortiz.com,6000000.0,159,"Is a public accounting firm offering commercial certified accounting, auditing, and tax planning services for small firms and public universities.",E.C. Ortiz
Poway,50,25,39,Health,3484,4000000.0,1995,CA,http://www.statrad.com,6000000.0,309,"A teleradiology provider that helps radiology groups deliver better care. With proprietary software and streamlined workflows, StatRad’s board-certified radiologists are able to provide accurate and responsive interpretations 24/7/365.",StatRad
San Diego,50,550,550,Advertising & Marketing,3487,3000000.0,2002,CA,http://www.AArrowAds.com,4500000.0,314,"A guerilla marketing franchise serving businesses of all sizes internationally. Its signature service is sign spinning, where ""spinners"" perform tricks on the street with large, arrow-shaped signs to catch attention and communicate highly targeted messages.",AArrow Advertising
Scott Depot,50,18,24,IT Services,3482,6100000.0,1999,WV,http://www.ATSnetworking.com,9200000.0,453,"sells and implements IP-telephony and network security systems to a broad range of customers from government, education, health care, retail, banking, insurance, and manufacturing.",Advanced Technical Solutions
Brooklyn,50,6,4,Business Products & Services,3495,20400000.0,1999,NY,http://www.levusa.com,30600000.0,318,"A wholesale exporter and product sourcer of tires, heavy construction and mining equipment, raw materials, security equipment, and building supplies. It also provides equipment financing and consulting on commodity trading.",Leviathan
New York,50,1299,1800,Retail,3481,302900000.0,1935,NY,http://www.FairwayMarket.com,455000000.0,156,"Offers daily bought produce, specialty items, a large kosher selection, fresh meat and seafood, and everyday groceries. Founded over 70 years ago with one location in the upper west side of Manhattan, in the last decade, Fairway has added new locations around the city and New Jersey.",Fairway Market
Pulaski,50,19,41,Health,3480,3800000.0,2004,NY,http://www.HealthWay.com,5700000.0,308,"Sells air filtration systems for residential, commercial, and medical use. Its products, developed with the U.S. government for use in military applications and germ warfare, are FDA listed as Class II Medical Devices, and can capture and eliminate bacteria, viruses, pollutants, odors, mold, germs, and microorganisms.",HealthWay Home Products
Andover,50,,143,Computer Hardware,3483,68800000.0,1996,MA,http://www.SiGe.com,103300000.0,27,"Supplies radio frequency front-end equipment that allows for the streaming of wireless multimedia across a wide range of applications such as Bluetooth, Wifi, and GPS in consumer, commercial and industrial electronics. The company went public in 2010.",SiGe Semiconductor
Norcross,50,13,16,Software,3479,4700000.0,1980,GA,http://www.Visix.com,7100000.0,240,"Develops software that allows users to create and manage visual communications from anywhere, and deliver content via the Web to large LCD screens, desktops, and RSS-compatible devices.",Visix
Federal Way,50,103,354,Consumer Products & Services,3477,103600000.0,1987,WA,http://www.animalsupply.com,155900000.0,182,"Pet food and pet supply distributor for independent pet specialty retailers. It also offers services to assist these retailers with marketing, merchandising, product analysis and training.",Animal Supply Company
Burlington,51,282,650,Software,3473,41600000.0,1999,MA,http://www.emptoris.com,62700000.0,239,"Provides strategic supply management solutions including sourcing, contract management, spend analysis, supplier lifecycle management, services procurement, and telecom expense management.",Emptoris
Birmingham,51,89,145,Health,3472,23000000.0,1996,AL,http://www.MedSeek.com,34600000.0,305,"Provides software to help health care organizations attract potential patients, engage patients and their families, coordinate care, and improve operational efficiency.",MedSeek
Irvine,51,1643,1012,Health,3474,234700000.0,1994,CA,http://www.PacificDentalServices.com,353400000.0,306,"Performs administrative and human resources services for more than 220 dental practices in California, Arizona, Nevada, Colorado, New Mexico and Texas.",Pacific Dental Services
Horsham,46,20,140,Software,3599,14800000.0,1981,PA,http://www.softerware.com,21500000.0,249,"Provides administrative software for non-profit fundraising management as well as schools, child care centers and other child-centric organizations. In addition to database and financial management applications it also offers tools to facilitate electronic payment processing.",SofterWare
Washington,46,,33,Government Services,3600,5700000.0,1995,DC,http://www.telcomdc.com,8200000.0,265,"Offers technology management consulting, public safety and homeland security, IT project management, and systems integration services to local, state and federal government, Department of Defense, and private sector customers.",Telecommunications Development
King of Prussia,46,54,230,Insurance,3598,94700000.0,1994,PA,http://www.medrisknet.com,137900000.0,38,Sells Web-based technology to automate the insurance claims workflow between health care providers and insurance companies.,MedRisk
Youngstown,46,75,77,IT Services,3595,27300000.0,2002,OH,http://www.TurningTechnologies.com,39800000.0,472,Develops hardware and software designed to allow remote audience response and gather audience feedback data during presentations. Clients include companies in the professional and educational markets.,Turning Technologies
PLANO,46,51,90,IT Services,3596,7300000.0,1996,TX,http://www.nsiamerica.com,10600000.0,473,"Offers IT consulting and software development services. The firm provides telecommunications infrastructure, staff augmentation, on and offshore web development, cloud computing and equipment leasing options.",National Systems Consulting
Alexandria,54,,66,Business Products & Services,3386,19400000.0,1986,VA,http://www.Meridian-Imaging.com,29800000.0,307,"Sells copiers, printers, scanners, fax machines, and related products to mid-size and large companies in the Washington, D.C. area.",Meridian Imaging Solutions
White Plains,51,,538,Business Products & Services,3476,196000000.0,1958,NY,http://www.JacksonLewis.com,295000000.0,315,"Specializes in workplace law, working with employers to devise policies and procedures that promote constructive employee relations and limit disputes. Its clients include a wide range of public and private businesses and nonprofits. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2008 and 2011.",Jackson Lewis
Cincinnati,46,7,22,Consumer Products & Services,3593,1500000.0,1970,OH,http://www.goDanco.com,2100000.0,185,"Provides repair, overhaul and replacement services for transmissions and general automotive components. Danco Transmission serves retail customers as well as car dealerships and wholesale consumers.",Danco Transmission
East Greenwich,46,20,45,Construction,3594,1600000.0,1995,RI,http://www.proscaperi.com,2300000.0,123,"A commercial and residential landscaper that designs, builds, and maintains outdoor spaces.",Proscape Landscaping
West Allis,46,9,91,Environmental Services,3590,24400000.0,1993,WI,http://www.AdvancedWasteServices.com,35600000.0,52,Specializes in chemical and liquid waste removal and reuse and recycling services for manufacturing and commercial clients in all industries.,Advanced Waste Services
Clearwater,46,,15,Business Products & Services,3591,5700000.0,2000,FL,http://www.spatialnetworks.com,8300000.0,327,"Collects global geographical data and develops software to provide geospatial and sociopolitical analysis for civic, governmental, and private applications around the world.",Spatial Networks
St. Paul,46,48,40,Business Products & Services,3588,18400000.0,1995,MN,http://www.apexprint.com,26900000.0,326,"Specializes in document design and analysis to improve the statement/invoice process. It offers statement processing, digital printing, and print management services to corporate clients.",Apex Print Technologies
Phoenix,46,4,9,Advertising & Marketing,3589,2100000.0,1999,AZ,http://www.hPowerMarketing.com,3000000.0,325,"Creates and places advertising on TV, radio, interactive and print on a per-inquiry basis for its clients.",Higher Power Marketing
Orlando,46,20,50,Human Resources,3592,1600000.0,1997,FL,http://www.MotenTate.com,2300000.0,102,Provides staffing services with a focus on IT and engineering.,Moten Tate
Portland,46,26,17,Advertising & Marketing,3586,4800000.0,1997,OR,http://www.isitedesign.com,7000000.0,324,"Serves as a preferred vendor for some of the world's most respected companies and organizations. The company has delivered full-service web services for more than 200 clients ranging from startups, non-profits and small businesses to Fortune 25 industry leaders.",ISite Design
Amherst,46,11,55,Health,3587,8200000.0,1992,NY,http://www.buffalofilter.com,12000000.0,318,Engineers and manufactures products for the evacuation and filtration of hazardous smoke generated during electrosurgical and laser procedures.,Buffalo Filter
Philadelphia,46,6,5,Telecommunications,3584,5900000.0,2002,PA,http://www.ifax.com,8600000.0,113,"Builds fax and phone systems using open standards and open source software. Its products include HylaFAX, which provides a fax server for building large, mission-critical fax reception and transmission services.",iFAX Solutions
Santa Clarita,46,9,16,Construction,3585,8700000.0,2005,CA,http://www.amgassociatesinc.com,12700000.0,122,"Designs and builds private projects and public infrastructure. AMG & Associates is a general contractor with expertise in the construction of schools, public works, and commercial buildings.",AMG & Associates
Portland,42,13,67,Software,3700,6300000.0,1996,OR,http://www.axium.com,8900000.0,257,Provides software designed to help architectural and engineering firms manage their projects and finances.,Axium
Holbrook,42,29,41,Financial Services,3698,67300000.0,2001,NY,http://www.americanportfolios.com,95400000.0,166,"Provides a wide range of financial products and services in support of affiliated investment professionals at locations throughout the country. Targeted areas include insurance, retirement, estate, and college planning, securities brokering, and asset management.",American Portfolios Financial Services
Seymour,42,8,25,Construction,3699,2100000.0,2001,IN,http://www.reliablecomfort.com,2900000.0,126,"Installs, services, and replaces heating and air conditioning units for residential customers. Reliable Comfort is a family owned company, founded by three brothers.",Reliable Comfort
Dallas,42,15,45,Business Products & Services,3697,7100000.0,1995,TX,http://www.tri-win.com,10000000.0,339,"A direct mail provider, it also offers design and print services and mailing lists for industries including non-profit, financial services and retail.",Tri-Win Digital Print and Mail Services
Los Angeles,42,400,1300,Logistics & Transportation,3696,59400000.0,2006,CA,http://www.TecTrans.com,84200000.0,92,"Designs, deploys, and coordinates passenger transportation solutions for public and private sector customers that are responsible for providing mobility to populations that include individuals requiring non-emergency medical care, individuals with disabilities, elderly, insured patients, corporate employees, and the general public.",TecTrans
Independence,42,4,12,IT Services,3694,3000000.0,2000,OH,http://www.briteskies.com,4300000.0,483,"Provides application development, technical support, Web design and development, and IBM WebSphere implementation for clients.",Briteskies
Cornelius,42,4,6,Government Services,3692,8600000.0,1986,NC,http://www.dmgroup.org,12200000.0,266,"Manufactures and sells zippers and other fasteners for military clothing, textiles, and sewn equipment. It also provides product development and consulting to government contractors.",Diversified Marketing Group
Alexandria,42,225,700,Government Services,3695,31100000.0,1992,VA,http://www.avineon.com,44100000.0,267,"Provides IT, engineering, automation, and technical support for federal, state and local governments and power utilities. Specific services also include plant and computer-aided design, as well as geospatial and environmental mapping services.",Avineon
Indianapolis,42,12,29,Health,3693,7900000.0,1994,IN,http://www.healthx.com,11200000.0,330,"Develops customer service software for clients including health care payers, their members, employers, clients, providers, and trading partners.",Healthx
Weymouth,42,70,73,Health,3687,23900000.0,1989,MA,http://www.beaconpartners.com,33900000.0,329,"Provides strategic, operations, IT, clinical and ARRA/HITECH consulting services to healthcare organizations including health systems, academic practice plans, community hospitals, integrated delivery networks, physician groups, and payers.",Beacon Partners
Irving,42,24,62,Software,3690,7000000.0,2004,TX,http://www.fellowshipone.com,9900000.0,256,"Publishes Web-based church management software used by fellowships to keep track of children, members, and visitors, facilitate meeting groups, track attendance and contributions, register for events online, and for bulk e-mailing.",Fellowship Technologies
Virginia Beach,42,9,47,Human Resources,3689,2200000.0,1985,VA,http://www.flex-admin.com,3200000.0,106,"A third-party administrator of employee benefits such as flexible benefit plans, health spending accounts, COBRA, transportation plans, and retirement plans.",Flexible Benefit Administrators
El Paso,42,98,153,Logistics & Transportation,3691,18600000.0,2001,TX,http://www.trans-expedite.com,26400000.0,91,"Provides logistics and air and ground transportation services, specializing in time-sensitive shipments.",Trans-Expedite
Wayland,42,,35,Business Products & Services,3685,41500000.0,1999,MA,http://www.ipromoteu.com,59000000.0,338,"Provides financing and administrative support to non-franchise affiliates. iPromoteu works with distributors to source and sell branded pens, shirts, mugs, hats and promotional products.",iPROMOTEu
BROOKFIELD,42,3,6,Environmental Services,3686,1800000.0,2002,WI,http://www.enviro-safe.com,2500000.0,56,"Assists industrial, commercial, municipal, and governmental clients to ensure their facilities are up to state and federal safety standards.",Enviro-Safe Consulting
Brentwood,50,13,24,Health,3478,5200000.0,1985,TN,http://www.ClinixMIS.com,7800000.0,307,"Develops software for health practice management, billing, and electronic health records.",Clinix Medical Information Services
San Diego,42,250,250,Health,3684,9700000.0,2004,CA,http://www.peakhs.com,13800000.0,328,"Provides health management services for health care facilities and health insurance plans. It offers coding, auditing, education, and Medicare risk adjustment services.",Peak Health Solutions
Orlando,38,,1685,Software,3799,82100000.0,1996,FL,http://www.connextions.com,113700000.0,264,"Develops software that integrates multi-channel technologies and customer data on its bConnected platform. Agents assist corporate clients such as Mercedes-Benz and FedEx and many health care providers in customer acquisition, retention, and conversion.",Connextions
Portland,38,51,73,Advertising & Marketing,3800,3600000.0,2001,OR,http://www.AngelVisionTech.com,5000000.0,339,"Produces short, powerful online videos designed to transmit compelling messages to its clients' prospective customers. The videos are sent in e-mails, used at trade shows, and uploaded to websites.",AngelVision
Wilmington,51,58,164,Food & Beverage,3475,8300000.0,1979,MA,http://www.Goodwives.com,12600000.0,97,Goodwives creates upscale Hors d'oeuvres and is distributed across the U.S.,Goodwives Hors d'oeuvres
POSEN,39,7,77,Security,3796,37500000.0,1988,IL,http://www.CORPORATESAFE.COM,52000000.0,57,"Sells safes for business and home use, and provides cash management services to cash-intensive businesses like restaurants and retailers.",Corporate Safe Specialists
New York,39,,71,IT Services,3795,16200000.0,1996,NY,http://www.netatwork.com,22500000.0,494,"Delievers IT and network infrastructure support across many areas of business, including accounting, manufacturing, e-commerce and payroll software. Clients are small and mid-size companies and divisions of larger organizations.",Net@Work
Lexington,39,39,80,Manufacturing,3794,35800000.0,1999,KY,http://www.bigassfans.com,49700000.0,137,"Designs, makes, and sells large (up to 24 feet in diameter), high volume ceiling and vertical fans for commercial, industrial, and institutional buildings. Its low horsepower motors and aerodynamic designs provide cost-effective and energy-efficient for air movement solutions.",Big Ass Fans
Van Nuys,42,25,100,Logistics & Transportation,3688,37300000.0,1998,CA,http://www.TWCAviation.com,53000000.0,90,"An aviation company with one of the largest fleets in North America that provides aircraft management, private jet charter, aircraft sales, and acquisition services.",TWC Aviation
St. Louis,39,8,14,Education,3792,1800000.0,2003,MO,http://www.edtechpartners.com,2500000.0,60,"Offers technology, software, and professional development services to K-12 education customers in the central United States.",Education Technology Partners
Iselin,46,,20,IT Services,3597,19700000.0,1999,NJ,http://www.SoftwareFolks.com,28700000.0,474,Offers IT consulting and staffing and software and application development.,Software Folks
Fairfax,39,,72,Business Products & Services,3789,13900000.0,2002,VA,http://www.cvpcorp.com,19200000.0,350,"Advises clients and helps them execute improvements in customer service, technology, executive strategy, and digital media. The company serves the health insurance, financial services, telecommunications, and media industries as well as the public sector.",Customer Value Partners
Norwalk,39,,500,Human Resources,3790,3300000.0,2005,CT,http://www.headcountmgmt.com,4600000.0,110,"Provides payroll funding, employer of record, workers compensation/general liability insurance, HR services and key back office services to staffing firms, companies and their temporary workforce.",Headcount Management
Crystal Lake,39,17,54,Insurance,3788,4300000.0,1972,IL,http://MarketFinancialGrp.com,5900000.0,43,"A retail insurance and wealth management firm offering group and individual health, long-term care, and long-term disability insurance as well as commercial bonds. The company merged with Marmac Insurance Agency in November 2010.",Market Financial Group
Orange,39,61,251,IT Services,3786,110300000.0,1987,CA,http://www.InsightInvestments.com,153300000.0,493,"Builds, deploys, and manages technology systems for data management and security and offers sales, leasing, and financing of software and hardware acquisitions.",Insight Investments
Champaign,39,27,97,Engineering,3787,20400000.0,2000,IL,http://www.mutionline.com,28300000.0,65,"Develops, erects, maintains and repairs communications towers and antenna installations for national telecommunication firms, major utilities, and railroad companies.",Midwest Underground Technology
Merrimack,39,74,80,Advertising & Marketing,3784,6100000.0,2000,NH,http://www.buyatimeshare.com,8400000.0,338,Allows timeshare owners to sell or to rent out their vacation properties by promoting them online.,BuyATimeshare.com
Cincinnati,39,2,5,Consumer Products & Services,3785,2400000.0,1990,OH,http://www.timetimer.com,3300000.0,194,"Manufactures and markets specialty clocks, watches, and digital applications that visually display the passage of time to improve the user's comprehension of elapsed time. Its devices are used in business settings to manage time efficiency, as well as for educational and sports purposes.",Time Timer
Houston,39,,61,Human Resources,3798,295800000.0,1995,TX,http://www.gnapartners.com,410000000.0,112,"Provides human resources, risk management, and payroll services to small and midsize companies.",G&A Partners
Edison,39,,45,Human Resources,3797,8400000.0,1996,NJ,http://www.irionline.com,11700000.0,111,"Offers professional staffing services, specializing in contract, consulting, and full-time positions in the areas of IT, rehabilitation therapy, clinical research, and nursing.",Integrated Resources
Englewood,39,200,368,Health,3783,112800000.0,1975,CO,http://www.baxa.com,156800000.0,339,"Manufactures medical devices for preparing, handling, packaging, and administration of liquid medications for use in hospitals, critical care units, and alternate-site pharmacies.",Baxa
Washington,39,,419,Business Products & Services,3781,235500000.0,1979,DC,http://www.Crowell.com,327500000.0,348,"Law firm known for its work in litigation, intellectual property, regulatory matters, government contracts, and antitrust. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2008 and 2011.",Crowell & Moring
New Philadelphia,39,6,17,Financial Services,3779,1700000.0,2003,OH,http://www.EDPaymentSystems.com,2300000.0,174,"Provides credit and debit card transaction processing, ACH and check services, loyalty and gift cards, and online and wireless payment services.",Electronic Data Payment Systems
Chesapeake,39,,59,Engineering,3780,26300000.0,1977,VA,http://www.jokell.com,36600000.0,64,"Provides shipboard electrical automation for the military, marine, and industrial markets. Such services include custom-engineering panels, field and start up assistance, as well as assembly, testing, and installation.",Jo-Kell
Miami,39,12,10,Consumer Products & Services,3793,9600000.0,1997,FL,http://www.governorsdistributors.com,13300000.0,195,"Governor's Distributors sells wholesale tobacco to gas stations, liquor stores, and convenient stores.",Governor's Distributors
Virginia Beach,39,4,7,Business Products & Services,3791,2300000.0,2006,VA,http://www.imagebusinessinteriors.com,3200000.0,351,"Provides design, planning, and furniture installation services for offices and commercial spaces. Image Business Interiors sells and installs furniture for commercial, government, health care, and education sectors.",Image Business Interiors
Valhalla,39,18,45,Human Resources,3776,7900000.0,2003,NY,http://www.PartnershipEmployment.com,11000000.0,109,"A recruiting and staffing firm with locations in four states that provides senior-level financial, accounting, and administrative professionals on a temporary project, consulting, or direct-hire basis.",Partnership Employment
Los Angeles,39,,781,Business Products & Services,3775,193500000.0,1979,CA,http://www.LBBSlaw.com,269500000.0,346,"Provides business law services with more than 785 attorneys around the country. Revenue data were obtained from The American Lawyer's Am Law 200, published in the May and June issues of 2008 and 2011.",Lewis Brisbois
Cartersville,39,8,40,Insurance,3774,3000000.0,1963,GA,http://www.ShawHankins.com,4200000.0,42,Provides employee benefits brokering and benefit plan development services to its clients.,ShawHankins
Oklahoma City,39,4,28,Software,3773,2100000.0,1999,OK,http://www.ElementFusion.com,2900000.0,263,"Develops Web-based content management systems for creating websites, online stores, and blogs.",Element Fusion
Fremont,35,100,140,IT Services,3900,23900000.0,2001,CA,http://www.intelliswift.com,32300000.0,504,"Provides integrated technology services to major corporations and midsize companies. It has alliances with technology vendors such as IBM, Microsoft, and Oracle.",Intelliswift
